Start Time:  11-04-2025 13:53:34          Time Completed:  11-04-2025 14:43:11      Elapsed Time:  00:49:36
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\Patron_SPM4c.txt
Plot File:     C:\IDEASVSM\LS_QC\Patron_SPM4c.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\Patron_SPM4c.dat

***DATA***

Field(G)	 Moment(emu)	
 17511.9 	 0.188194 	
 17514.7 	 0.187743 	
 17000.2 	 0.18722 	
 16000 	 0.187647 	
 14999.8 	 0.187221 	
 14000.1 	 0.186673 	
 13000 	 0.186454 	
 12000 	 0.185807 	
 11000 	 0.185224 	
 10000 	 0.184928 	
 8999.96 	 0.184551 	
 7999.98 	 0.185114 	
 6999.98 	 0.183988 	
 5999.99 	 0.183153 	
 4999.98 	 0.182354 	
 4000 	 0.180967 	
 3000.09 	 0.178733 	
 2000 	 0.175969 	
 999.999 	 0.162178 	
 949.991 	 0.159797 	
 899.999 	 0.157755 	
 850.002 	 0.156046 	
 800.006 	 0.153338 	
 749.999 	 0.15187 	
 699.993 	 0.149367 	
 649.998 	 0.146472 	
 600 	 0.144083 	
 550.002 	 0.139719 	
 500.001 	 0.136012 	
 449.995 	 0.131049 	
 400.004 	 0.125285 	
 350.002 	 0.118263 	
 300 	 0.109849 	
 249.995 	 0.0997317 	
 200.002 	 0.0869691 	
 189.995 	 0.0830555 	
 179.993 	 0.0795593 	
 170.001 	 0.0756534 	
 159.998 	 0.0701508 	
 150 	 0.0656733 	
 139.991 	 0.0616737 	
 129.998 	 0.0576193 	
 119.991 	 0.0537546 	
 109.995 	 0.0497188 	
 99.9966 	 0.0454057 	
 89.9987 	 0.0414754 	
 79.9986 	 0.0374164 	
 70.0043 	 0.0340552 	
 59.9932 	 0.030863 	
 49.9919 	 0.027815 	
 40.0019 	 0.0248863 	
 30.0085 	 0.0218528 	
 20.0109 	 0.0190382 	
 17.9966 	 0.0182855 	
 16.0051 	 0.0175657 	
 13.992 	 0.0170439 	
 11.9982 	 0.0164453 	
 9.99487 	 0.0158959 	
 7.9969 	 0.0153286 	
 5.99344 	 0.014806 	
 3.99473 	 0.014285 	
 2.00542 	 0.0137425 	
-0.00709452 	 0.0132026 	
-1.9949 	 0.0126688 	
-3.9983 	 0.0121337 	
-6.00063 	 0.0116233 	
-8.00256 	 0.0110915 	
-10.0064 	 0.010542 	
-11.9969 	 0.0100417 	
-14.016 	 0.00951401 	
-16.0002 	 0.00899462 	
-17.998 	 0.00849451 	
-20.008 	 0.00799094 	
-29.9957 	 0.00536462 	
-40.001 	 0.00268637 	
-50.0079 	-0.000303542 	
-59.9948 	-0.00348267 	
-70.0017 	-0.00673505 	
-79.9962 	-0.0108678 	
-90.0024 	-0.014799 	
-100.003 	-0.0192917 	
-110.008 	-0.0241146 	
-120.011 	-0.0290914 	
-129.997 	-0.0348572 	
-140.005 	-0.0395742 	
-149.999 	-0.044577 	
-160.006 	-0.0495665 	
-169.989 	-0.0544649 	
-180.002 	-0.0594745 	
-189.988 	-0.0638973 	
-199.999 	-0.0683078 	
-250 	-0.0875502 	
-300.004 	-0.100817 	
-350 	-0.111952 	
-400.005 	-0.120907 	
-450.008 	-0.127239 	
-500.003 	-0.133582 	
-549.995 	-0.139154 	
-600.007 	-0.143218 	
-649.996 	-0.146615 	
-700.007 	-0.149968 	
-750.006 	-0.152508 	
-799.997 	-0.154703 	
-850.001 	-0.156587 	
-899.995 	-0.159023 	
-949.999 	-0.160938 	
-1000 	-0.161918 	
-2000 	-0.176498 	
-3000.02 	-0.180876 	
-3999.98 	-0.183468 	
-5000 	-0.184521 	
-6000 	-0.184871 	
-6999.99 	-0.185034 	
-7999.99 	-0.186855 	
-9000 	-0.187708 	
